SetID,WorkoutExerciseID,SetNumber,Repetitions,Weight,RIR
1106,376,1,14,12.0,1
1107,376,2,12,12.0,0
1108,376,3,14,12.0,0
1109,377,1,6,100.0,3
1110,377,2,6,105.0,2
1111,377,3,6,105.0,2
1112,377,4,6,105.0,1
1113,378,1,10,90.0,2
1114,378,2,10,90.0,1
1115,378,3,10,90.0,2
1116,379,1,6,140.0,2
1117,379,2,7,140.0,2
1118,379,3,9,140.0,1
1119,380,1,7,140.0,1
1120,380,2,7,140.0,0
1121,381,1,8,70.0,2
1122,381,2,8,70.0,1
1123,381,3,8,70.0,1
1124,382,1,15,90.0,1
1125,382,2,15,90.0,1
1126,382,3,15,90.0,1
1127,383,1,15,70.0,2
1128,383,2,16,70.0,1
1129,383,3,16,70.0,1
1154,393,1,5,85.0,0
1155,393,2,8,85.0,1
1156,393,3,7,85.0,1
1157,394,1,10,70.0,2
1158,394,2,7,77.0,1
1159,394,3,8,77.0,0
1160,395,1,7,24.0,1
1161,395,2,8,24.0,1
1162,395,3,8,24.0,0
1163,396,1,11,90.3,0
1164,396,2,11,90.3,0
1165,396,3,8,90.3,0
1166,397,1,8,73.0,1
1167,397,2,8,73.0,1
1168,398,1,13,35.0,2
1169,398,2,10,35.0,1
1170,398,3,10,35.0,0
1171,399,1,6,90.0,1
1172,399,2,6,90.0,1
1173,399,3,6,90.0,0
1174,400,1,9,30.0,1
1175,400,2,9,30.0,1
1176,401,1,9,30.0,1
1177,401,2,10,30.0,0
1198,410,1,5,85.0,2
1199,410,2,7,85.0,1
1200,410,3,6,85.0,1
1201,411,1,7,90.0,1
1202,411,2,6,90.0,2
1203,411,3,7,90.0,1
1204,412,1,6,45.0,1
1205,412,2,6,45.0,1
1206,413,1,9,24.0,2
1207,413,2,10,24.0,1
1208,413,3,10,24.0,1
1209,414,1,9,85.0,2
1210,414,2,10,85.0,1
1211,414,3,10,85.0,1
1212,415,1,8,80.0,1
1213,415,2,9,80.0,0
1214,416,1,9,60.0,1
1215,416,2,10,60.0,1
1216,417,1,12,30.0,2
1217,417,2,10,35.0,0
1218,418,1,10,35.0,2
1219,418,2,11,35.0,1
1220,418,3,11,35.0,0
1221,419,1,9,35.0,1
1222,419,2,9,35.0,1
1223,419,3,8,35.0,0
1224,420,1,9,32.0,1
1225,420,2,10,32.0,0
1226,420,3,9,35.0,0
1227,421,1,8,22.0,1
1228,421,2,10,22.0,0
1229,421,3,9,22.0,0
1230,422,1,20,9.0,2
1231,422,2,20,9.0,1
1232,422,3,15,9.0,0
1233,423,1,11,16.0,2
1234,423,2,11,16.0,1
1235,423,3,11,16.0,0
1236,424,1,15,26.0,2
1237,424,2,15,26.0,1
1286,444,1,7,85.0,1
1287,444,2,6,85.0,0
1288,444,3,6,85.0,0
1289,445,1,7,89.5,1
1290,445,2,6,89.5,1
1291,445,3,6,89.5,0
1292,446,1,5,50.0,1
1293,446,2,6,50.0,0
1294,447,1,10,24.0,1
1295,447,2,9,24.0,0
1296,447,3,9,24.0,0
1297,448,1,10,80.0,2
1298,448,2,10,90.0,1
1299,449,1,9,86.0,1
1300,449,2,9,86.0,1
1301,449,3,9,86.0,0
1302,450,1,9,60.0,1
1303,450,2,9,60.0,1
1304,451,1,13,10.0,2
1305,451,2,13,10.0,1
1306,452,1,10,35.0,1
1307,452,2,10,35.0,1
1334,463,1,8,85.0,1
1335,463,2,5,90.0,0
1336,463,3,5,90.0,0
1337,464,1,8,70.0,1
1338,464,2,10,70.0,0
1339,464,3,10,70.0,0
1340,465,1,6,90.0,1
1341,465,2,6,90.0,1
1342,465,3,6,90.0,0
1343,466,1,6,24.0,2
1344,466,2,6,24.0,0
1345,466,3,7,20.0,1
1346,467,1,10,89.5,1
1347,467,2,10,89.5,0
1348,467,3,10,89.5,0
1349,468,1,10,66.0,2
1350,468,2,10,66.0,1
1351,469,1,15,32.0,2
1352,469,2,15,41.0,1
1353,469,3,13,50.0,0
1354,470,1,12,45.0,2
1355,470,2,15,52.0,0
1356,471,1,6,35.0,0
1357,471,2,10,25.0,0
1358,472,1,8,34.0,1
1359,472,2,8,34.0,0
